fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
9.03,0.598,0.258,1.87,0.139,6.1,62.0,0.994254,3.293,0.84,11.36,6
11.94,0.724,0.387,2.16,0.121,22.4,43.3,0.992963,3.432,0.776,10.69,6
7.61,0.31,0.006,4.3,0.047,25.8,77.3,1.000818,3.103,0.691,9.84,6
7.43,0.38,0.185,0.6,0.13,25.5,43.1,0.997294,3.351,0.653,8.91,6
6.92,0.556,0.557,0.66,0.078,18.2,52.8,0.997563,3.428,0.544,11.5,8
9.35,0.527,0.066,0.6,0.055,17.3,86.1,0.99631,3.034,0.298,9.66,8
10.22,0.581,0.435,0.98,0.094,21.4,108.0,0.997585,3.269,0.42,10.47,4
8.11,0.725,0.178,1.36,0.08,19.1,70.6,0.993823,3.557,0.534,12.75,4
6.87,0.212,0.374,0.6,0.141,21.6,101.9,0.995102,3.393,0.508,11.2,8
6.9,0.705,0.478,1.47,0.099,18.0,52.1,0.9969,3.029,0.709,12.01,6
9.41,0.531,0.411,0.6,0.094,24.7,46.6,0.992385,3.409,0.798,9.86,3
9.56,0.493,0.443,1.07,0.119,1.2,63.9,0.996125,3.198,0.638,11.47,6
9.22,0.265,0.051,4.18,0.125,14.5,46.4,0.996008,3.414,0.9,10.43,3
7.17,0.621,0.482,3.07,0.114,1.4,20.8,0.996125,3.206,0.527,10.77,3
8.69,0.095,0.108,2.76,0.137,18.8,29.5,0.995653,3.302,0.637,12.42,4
8.5,0.647,0.319,1.1,0.108,33.1,9.9,0.994808,3.229,0.651,10.12,4
8.67,0.261,0.319,0.6,0.093,10.9,63.9,0.993238,3.31,0.846,10.42,3
9.78,0.54,0.362,0.91,0.13,17.2,46.9,0.996975,3.225,0.678,9.5,8
8.68,0.509,0.334,2.44,0.084,23.8,34.6,0.99613,3.276,0.683,11.29,5
9.45,0.741,0.11,3.72,0.088,5.8,27.9,0.994087,3.134,0.379,9.84,6
8.41,0.498,0.014,3.76,0.147,10.4,63.1,0.996819,3.384,0.507,11.42,8
8.79,0.405,0.436,3.38,0.144,19.7,72.2,0.99614,3.336,0.846,8.75,8
9.37,0.439,0.305,1.47,0.087,14.5,9.3,0.995824,3.068,0.307,10.95,7
5.82,0.759,0.488,2.53,0.071,5.6,6.0,0.992602,3.459,0.888,9.76,4
7.76,0.627,0.262,2.05,0.138,27.5,77.9,0.997997,3.284,0.745,11.13,7
7.5,0.461,0.003,2.22,0.115,26.4,6.0,0.994357,3.334,0.533,10.39,8
7.21,0.487,0.454,5.35,0.098,19.8,64.5,0.99682,3.425,0.519,9.86,3
7.83,0.248,0.2,0.6,0.076,25.2,99.7,0.995164,3.359,0.982,10.01,8
10.84,0.6,0.335,2.17,0.099,18.2,99.8,0.995961,3.485,0.9,9.55,8
6.83,0.213,0.147,4.2,0.086,21.7,70.8,0.998889,3.266,0.64,11.24,8
9.95,0.665,0.582,0.6,0.064,12.6,69.8,0.99771,3.465,0.683,9.35,5
5.44,0.553,0.103,1.6,0.092,17.1,120.6,0.998847,3.328,0.55,10.13,4
7.73,0.96,0.206,1.76,0.096,9.3,30.3,0.997328,3.386,0.683,10.75,7
8.58,0.332,0.29,2.19,0.074,29.2,31.2,0.997453,3.371,0.545,12.01,6
9.3,0.512,0.062,0.6,0.119,31.9,74.4,0.993316,3.496,0.647,10.39,7
9.51,0.854,0.333,3.33,0.132,30.4,35.4,0.996097,3.418,0.968,10.16,4
9.65,0.744,0.576,3.43,0.121,11.6,87.3,0.996273,3.244,0.644,10.67,4
7.71,0.405,0.177,3.21,0.077,5.9,45.2,0.999025,3.214,0.482,8.33,8
7.51,0.57,0.345,1.28,0.113,29.3,50.8,0.995738,3.303,0.428,9.2,6
9.76,0.53,0.252,2.62,0.09,21.6,37.5,0.997203,3.196,0.682,10.02,8
7.97,0.581,0.263,1.24,0.044,19.4,29.3,0.997129,3.152,0.531,9.69,8
6.13,0.404,0.211,2.03,0.111,9.2,28.5,0.9989,2.991,0.702,8.8,5
6.37,0.514,0.114,5.51,0.092,20.4,55.4,0.996446,3.078,0.385,11.26,4
6.74,0.242,0.475,2.63,0.178,4.5,21.0,0.998273,3.608,0.777,10.66,8
9.15,0.554,0.208,0.84,0.138,22.6,77.9,0.993461,3.212,0.48,10.54,7
8.54,0.611,0.236,2.75,0.112,30.4,68.0,0.993633,3.596,0.668,9.71,6
9.47,0.489,0.198,0.61,0.096,33.0,82.7,0.992362,3.37,0.602,10.48,8
7.57,0.239,0.094,0.82,0.093,23.3,9.4,0.998193,3.303,0.952,10.91,4
8.57,0.708,0.055,1.04,0.052,1.4,9.4,0.99798,3.085,0.689,10.14,5
9.36,0.596,0.453,1.88,0.026,18.0,46.4,0.998404,3.311,0.991,10.84,3
7.77,0.399,0.131,3.81,0.056,38.4,141.9,0.995413,3.594,0.755,9.6,5
9.08,0.479,0.124,3.31,0.085,6.8,88.2,0.995629,3.544,0.902,10.5,5
7.17,0.26,0.194,3.23,0.013,15.3,28.3,0.99647,3.351,0.625,11.54,5
7.68,0.345,0.601,0.96,0.068,30.7,60.5,0.999443,3.138,0.719,11.63,3
7.65,0.433,0.416,1.74,0.078,22.4,70.4,0.999918,3.166,0.867,11.73,7
6.27,0.751,0.164,2.88,0.079,41.9,6.0,0.998208,3.182,0.814,10.69,5
9.13,0.415,0.518,1.62,0.064,8.2,91.6,0.997329,3.502,0.75,10.43,5
7.5,0.645,0.129,2.11,0.075,5.5,41.0,0.999237,3.555,0.604,9.95,8
8.32,0.433,0.462,3.12,0.147,28.8,43.5,0.996214,3.339,0.633,8.59,5
9.12,0.575,0.012,2.01,0.11,3.3,47.3,0.995957,3.265,0.853,9.06,8
9.06,0.505,0.474,2.82,0.067,13.8,84.2,0.996455,3.542,0.889,10.23,4
9.43,0.687,0.193,4.73,0.085,15.2,21.7,0.99484,3.163,0.559,10.29,8
8.13,0.434,0.075,2.26,0.086,26.8,9.7,0.996367,3.318,0.534,11.81,8
7.58,0.247,0.229,4.15,0.06,22.3,57.1,0.994577,3.379,0.506,11.71,7
8.16,0.281,0.323,3.28,0.06,20.7,20.7,0.998648,3.181,0.801,9.71,8
5.43,0.434,0.176,0.6,0.122,11.7,36.6,0.997733,3.215,0.502,11.22,7
5.84,0.305,0.375,0.96,0.072,28.7,85.5,0.999416,3.203,0.799,9.92,6
6.05,0.604,0.159,1.33,0.049,58.2,65.6,0.993604,3.523,0.753,11.08,7
6.6,0.446,0.388,1.3,0.085,23.2,80.8,1.000313,3.597,0.567,11.21,8
8.98,0.957,0.354,2.37,0.091,16.9,66.9,0.993712,3.327,0.926,11.64,6
6.76,0.217,0.258,3.36,0.018,2.3,125.8,0.994423,3.27,0.411,9.91,7
7.66,0.567,0.186,4.26,0.086,9.2,27.1,0.99552,3.22,0.942,11.41,3
10.51,0.327,0.299,2.93,0.117,13.7,59.6,0.999185,3.31,0.714,8.53,8
7.69,0.441,0.375,1.88,0.103,10.3,32.1,0.997129,3.227,0.308,11.7,7
9.55,0.555,0.662,0.6,0.165,15.7,78.0,0.996237,3.295,0.931,10.37,3
6.71,0.111,0.448,2.6,0.131,34.6,44.5,0.995194,3.372,0.825,10.4,4
7.95,0.573,0.455,2.54,0.138,29.0,103.0,0.994086,3.249,0.587,8.36,4
6.68,0.873,0.857,2.76,0.185,14.2,29.0,0.998852,3.282,0.496,10.01,4
7.72,0.448,0.368,5.45,0.114,3.2,92.8,0.998217,3.282,0.393,11.76,8
9.73,0.577,0.362,4.24,0.093,29.9,66.0,0.99927,3.262,1.071,9.97,5
5.36,0.714,0.404,3.6,0.121,15.4,45.4,0.997454,3.244,0.503,11.11,5
9.04,0.5,0.078,1.15,0.067,2.2,64.3,0.99168,3.424,0.445,10.43,7
8.7,0.425,0.186,1.78,0.091,23.4,55.1,0.994335,3.044,0.706,11.46,5
7.29,0.12,0.174,2.37,0.064,26.7,58.2,0.997583,3.546,0.382,10.59,8
5.84,0.645,0.393,1.41,0.101,9.6,39.7,0.995998,3.33,0.493,9.47,7
8.42,0.51,0.237,3.2,0.064,7.2,23.4,0.995638,3.402,0.829,10.46,4
7.4,0.348,0.296,3.0,0.063,14.7,35.5,0.994604,3.419,0.739,12.0,6
8.7,0.553,0.477,0.98,0.101,23.6,8.9,0.9985,3.204,0.594,10.9,5
8.34,0.425,0.434,4.18,0.082,10.5,74.2,0.997567,3.173,0.663,10.28,5
11.02,0.435,0.239,2.64,0.02,7.2,6.0,0.997652,3.155,0.585,12.66,8
7.89,0.639,0.143,0.6,0.036,23.5,39.3,0.995496,3.273,0.649,11.56,5
6.56,0.289,0.486,2.43,0.047,11.0,67.8,0.997035,3.415,0.53,11.22,3
8.6,0.719,0.417,2.89,0.056,21.6,74.1,0.994158,3.222,0.561,10.72,5
8.67,0.278,0.035,3.86,0.102,4.2,11.9,0.996453,3.401,0.556,11.13,6
10.61,0.411,0.211,2.03,0.095,1.7,43.5,0.991897,2.955,0.537,11.16,3
9.72,0.876,0.301,3.66,0.124,23.8,61.6,0.993721,3.252,0.837,8.22,7
8.91,0.733,0.418,2.76,0.113,18.6,48.2,0.996088,3.485,0.791,10.79,4
10.79,0.548,0.443,0.66,0.125,25.6,90.7,1.001213,3.284,0.501,10.24,3
6.28,0.361,0.324,0.6,0.108,10.3,19.5,0.993279,3.186,0.457,9.9,6
7.21,0.435,0.381,4.07,0.094,7.6,20.9,0.994337,3.211,0.633,10.2,3
6.72,0.543,0.282,4.17,0.125,30.2,73.2,0.997112,2.856,1.026,8.84,7
7.64,0.537,0.142,2.95,0.119,1.0,28.8,1.000062,3.158,0.485,8.6,3
5.96,0.514,0.22,4.59,0.1,29.0,11.4,0.997084,3.469,0.633,11.65,5
9.38,0.524,0.274,3.98,0.131,29.8,41.3,0.998034,3.223,0.675,10.86,3
7.92,0.491,0.263,3.46,0.012,24.9,87.0,0.996059,3.24,0.642,8.0,5
5.8,0.27,0.088,1.22,0.077,8.7,6.0,0.99573,2.96,0.582,9.82,8
6.57,0.437,0.194,4.92,0.076,7.3,123.4,0.996856,3.065,0.856,11.28,6
8.83,0.695,0.281,3.25,0.127,13.7,18.9,0.995449,3.489,0.737,10.12,6
9.72,0.284,0.217,1.96,0.142,2.3,49.4,0.998076,3.403,0.804,11.65,3
11.69,0.496,0.223,1.56,0.036,5.8,6.4,0.993648,3.115,0.76,11.45,4
13.25,0.382,0.363,2.86,0.136,22.7,47.9,0.998391,3.215,0.812,9.04,5
9.0,0.55,0.065,0.6,0.046,22.7,42.1,0.996775,3.306,0.929,10.26,6
6.62,0.46,0.039,3.48,0.047,4.9,6.0,0.996292,3.131,0.886,9.95,4
4.68,0.796,0.204,1.17,0.079,23.0,139.5,0.993578,3.009,1.055,9.01,8
8.76,0.621,0.415,3.02,0.076,20.7,30.2,0.994838,3.286,0.867,8.95,6
6.92,0.294,0.591,1.77,0.032,31.8,30.2,0.998977,3.396,0.546,9.59,4
7.59,0.651,0.419,2.13,0.11,21.9,78.4,0.996304,3.399,0.804,9.76,3
7.26,0.391,0.009,1.44,0.111,27.0,106.2,0.997229,3.441,0.781,10.68,6
8.06,0.426,0.226,2.27,0.124,20.9,83.6,0.995029,3.077,0.986,11.44,5
10.11,0.586,0.319,5.15,0.072,26.2,7.0,0.996645,3.319,0.496,10.91,7
8.57,0.441,0.304,4.44,0.086,2.4,53.5,0.994093,3.27,0.755,11.15,6
8.03,0.691,0.372,3.0,0.086,14.6,15.4,0.99689,3.297,0.544,10.13,6
6.54,0.391,0.096,2.46,0.146,15.5,76.2,0.997404,3.278,0.747,11.0,8
5.45,0.419,0.282,3.68,0.012,13.3,7.3,0.997309,3.211,0.623,10.25,6
7.47,0.412,0.35,4.08,0.054,20.6,20.1,0.994983,2.857,0.742,9.96,7
8.21,0.428,0.427,1.34,0.087,22.6,46.4,0.99605,3.484,0.42,12.3,5
11.31,0.728,0.117,2.39,0.049,20.0,61.1,0.997721,3.359,0.795,8.07,8
8.52,0.643,0.204,0.6,0.078,14.0,37.9,0.996298,3.087,0.695,8.53,5
9.97,0.838,0.244,4.07,0.083,8.2,96.5,0.996154,3.381,0.686,10.78,7
7.45,0.938,0.152,5.39,0.064,27.4,70.3,1.000317,3.243,0.992,10.14,8
6.29,0.344,0.17,2.61,0.089,19.6,67.7,0.994893,3.247,0.595,8.96,5
6.66,0.543,0.076,0.6,0.109,5.2,6.1,0.998753,3.195,0.718,9.35,3
7.07,0.318,0.301,3.35,0.079,13.9,102.4,0.994506,3.391,0.677,9.48,4
11.92,0.39,0.259,1.23,0.071,2.4,20.1,0.997944,3.19,0.694,11.29,4
6.9,0.417,0.159,1.57,0.081,16.3,103.7,0.998045,3.145,1.038,11.61,3
9.73,0.34,0.311,3.38,0.087,13.8,113.0,0.99573,3.48,0.671,12.04,6
6.77,0.341,0.094,2.86,0.026,9.9,63.4,0.994387,3.283,0.564,8.81,4
9.88,0.504,0.362,1.82,0.103,32.5,80.5,0.992956,3.288,0.978,9.03,3
8.95,0.311,0.026,1.59,0.071,3.8,54.9,0.995531,3.414,0.608,8.96,3
8.03,0.682,0.276,2.68,0.131,23.3,40.1,0.9977,3.21,0.387,11.69,4
8.23,0.365,0.216,1.93,0.108,38.9,82.8,0.994653,3.24,0.534,10.82,5
7.19,1.036,0.328,0.95,0.128,27.2,76.9,0.996884,3.356,0.448,10.48,8
9.06,0.449,0.294,2.03,0.052,15.6,6.4,0.993895,3.079,0.354,10.63,7
7.53,0.543,0.222,2.98,0.074,4.0,36.8,0.996256,3.343,0.598,10.34,7
6.22,0.297,0.022,2.25,0.044,1.6,36.9,0.994521,3.197,0.648,9.28,7
6.13,0.837,0.011,0.6,0.062,11.6,60.1,0.996552,3.438,0.861,10.91,7
8.59,0.732,0.159,3.88,0.131,8.7,15.5,0.995748,3.392,0.767,10.21,4
10.98,0.583,0.268,1.33,0.139,8.3,83.7,0.994438,3.372,0.759,9.2,3
8.57,0.288,0.154,1.88,0.047,12.5,85.4,0.995448,3.069,0.508,10.97,6
8.1,0.568,0.389,1.63,0.071,14.8,30.9,0.994925,3.294,0.81,9.97,3
8.79,0.328,0.217,2.71,0.084,21.0,63.6,0.994204,3.133,0.897,10.63,4
10.52,0.793,0.087,3.29,0.107,2.9,39.4,0.998757,3.304,0.727,10.28,7
8.67,0.676,0.217,4.08,0.025,8.7,54.5,0.996016,2.963,0.732,11.29,6
7.6,0.547,0.313,1.5,0.031,14.2,8.8,0.992516,3.079,0.445,10.62,7
10.18,0.091,0.332,3.32,0.104,13.8,67.0,0.995516,3.488,0.839,9.52,6
9.03,0.353,0.627,2.77,0.019,35.2,7.5,0.998438,3.365,0.963,10.72,6
10.91,0.654,0.143,0.6,0.071,18.3,13.7,0.995253,3.257,0.715,10.75,4
8.61,0.748,0.256,5.16,0.093,1.0,42.5,0.999546,3.174,0.559,10.91,4
6.22,0.73,0.351,0.6,0.102,20.3,39.6,0.995072,3.147,0.632,11.44,4
5.97,0.243,0.266,3.09,0.082,21.6,55.5,0.997656,3.34,0.589,9.78,7
11.11,0.584,0.175,3.05,0.074,14.6,25.1,0.99867,3.258,0.599,11.07,8
11.23,0.713,0.024,2.89,0.117,3.2,108.5,0.997555,3.542,0.77,8.68,3
7.99,0.231,0.173,1.81,0.097,34.4,51.8,0.994088,3.282,0.708,10.28,6
7.65,0.529,0.066,3.66,0.064,4.7,54.2,0.994909,3.319,0.831,10.13,5
10.78,0.579,0.058,0.6,0.088,22.8,53.0,0.998923,3.102,0.723,11.85,6
6.42,0.476,0.119,2.41,0.1,18.0,79.5,0.995171,3.256,0.513,10.24,4
6.78,0.197,0.071,1.71,0.147,22.2,65.5,0.998554,3.337,0.575,11.01,3
9.39,0.471,0.381,1.55,0.115,33.8,61.0,0.995882,3.254,0.564,8.64,4
7.63,0.471,0.384,3.1,0.13,21.8,70.7,0.996969,3.237,0.628,10.05,4
8.29,0.503,0.098,4.01,0.066,10.0,13.5,0.994066,3.359,0.965,9.55,3
8.02,0.429,0.221,2.02,0.069,27.5,12.3,0.995544,3.537,0.992,12.88,5
8.87,0.45,0.083,3.59,0.079,9.3,44.0,0.995037,3.332,0.802,9.73,7
10.69,0.523,0.176,2.57,0.082,17.6,40.0,0.997129,3.482,0.68,10.47,8
8.45,0.61,0.346,1.25,0.052,2.3,65.6,0.996877,3.403,0.429,10.53,6
9.39,0.475,0.427,2.14,0.131,5.1,47.2,0.997579,3.473,0.697,8.81,4
4.81,0.456,0.135,2.08,0.118,16.4,65.6,0.995768,3.219,0.526,9.87,5
8.22,0.547,0.47,1.52,0.076,19.8,6.0,0.994933,3.279,0.937,10.8,4
6.87,0.184,0.018,3.1,0.109,2.0,46.1,0.997047,3.28,0.387,10.49,4
6.23,0.616,0.033,2.83,0.095,21.1,6.0,0.994744,3.392,0.725,8.1,8
6.81,0.53,0.405,0.6,0.112,7.3,59.2,0.998749,3.429,0.511,9.83,6
7.73,0.537,0.588,0.6,0.04,29.3,15.3,0.996482,3.329,0.658,11.42,5
9.86,0.703,0.364,3.09,0.082,12.2,58.0,0.99608,3.442,0.773,10.99,5
6.05,0.178,0.262,1.36,0.085,4.1,6.0,0.997578,3.226,0.834,11.62,4
8.35,0.175,0.147,2.92,0.109,16.7,33.9,0.996555,3.443,0.65,9.41,5
7.48,0.579,0.114,3.59,0.065,6.3,75.9,0.99355,3.462,0.789,11.68,6
7.74,0.529,0.295,0.72,0.012,29.2,54.0,0.994683,3.412,0.547,10.36,8
10.0,0.561,0.202,0.6,0.049,15.9,7.6,0.99871,3.33,0.702,11.99,5
9.21,0.447,0.06,4.84,0.085,14.3,24.4,0.996859,3.417,0.83,10.4,4
10.57,0.65,0.282,2.99,0.089,22.1,6.0,0.993505,3.176,0.716,8.35,8
8.04,0.698,0.292,1.91,0.146,5.3,9.3,0.997369,3.34,0.57,11.25,4
7.12,0.617,0.449,1.19,0.107,2.4,50.4,0.995637,3.355,0.613,9.96,3
7.92,0.483,0.296,1.79,0.09,20.2,64.9,0.995038,3.111,0.833,10.02,6
8.71,0.151,0.503,0.83,0.086,4.4,61.0,0.994525,3.381,0.474,8.95,7
8.6,0.668,0.272,3.74,0.126,4.3,66.3,0.9986,3.123,0.499,12.02,4
6.46,0.75,0.248,1.41,0.066,24.7,46.1,0.992966,3.246,0.762,9.88,4
8.45,0.646,0.472,4.03,0.082,21.4,37.5,0.995109,3.316,0.585,11.98,4
8.69,0.372,0.084,1.94,0.049,2.7,11.2,0.996928,3.2,0.413,9.97,7
12.58,0.651,0.805,1.04,0.137,9.4,32.0,0.999699,3.322,0.89,9.47,8
11.49,0.685,0.341,1.9,0.101,6.4,6.0,0.997752,3.32,0.473,11.72,8
6.85,0.811,0.342,1.17,0.062,34.6,18.7,0.995093,3.187,0.626,10.33,4
7.81,0.372,0.37,2.33,0.083,25.4,49.4,0.999606,3.395,0.555,10.34,8
5.81,0.489,0.627,2.26,0.105,11.5,42.6,0.994125,3.195,0.609,9.12,4
7.3,0.665,0.421,3.65,0.078,22.0,147.3,0.997204,3.653,0.51,9.94,8
8.84,0.54,0.035,0.6,0.068,1.7,6.0,0.997627,3.294,0.781,10.83,8
10.35,0.329,0.537,4.13,0.064,8.8,42.4,0.995026,3.134,0.679,9.1,7
7.06,0.605,0.205,3.65,0.099,17.0,6.0,0.998025,3.162,0.827,9.86,8
7.19,0.634,0.29,4.25,0.074,20.6,33.7,0.995724,3.482,0.556,9.98,3
4.65,0.546,0.027,2.43,0.071,14.9,35.1,0.998021,3.249,1.023,10.47,6
8.02,0.57,0.37,3.92,0.04,18.5,74.3,0.993205,3.105,0.336,11.88,3
6.49,0.483,0.146,0.6,0.09,16.7,31.7,0.997336,3.438,0.391,10.1,6
7.4,0.796,0.289,3.5,0.081,14.2,40.2,0.995917,3.248,0.958,9.71,5
6.81,0.368,0.216,1.42,0.076,12.8,32.3,0.998884,3.408,0.741,13.15,8
8.14,0.424,0.636,0.6,0.094,11.4,6.0,0.996616,3.45,0.718,9.97,5
5.31,0.532,0.647,0.93,0.113,18.3,25.0,0.999074,3.351,0.733,10.21,7
5.81,0.688,0.279,2.51,0.112,20.2,33.9,0.997664,3.669,0.757,10.04,4
11.92,0.26,0.282,1.35,0.106,18.0,48.9,0.996458,3.051,0.711,10.12,3
6.11,0.294,0.199,3.03,0.079,3.5,64.9,0.998197,3.187,0.496,10.48,7
6.44,0.163,0.48,0.6,0.067,5.4,38.8,0.998209,3.272,0.799,11.32,4
11.42,0.536,0.208,0.6,0.05,20.1,38.2,0.997597,3.649,0.772,10.8,7
13.24,0.329,0.19,4.42,0.066,31.4,10.1,0.992345,3.58,0.903,11.48,5
6.31,0.461,0.456,3.77,0.088,17.5,64.3,0.994833,3.503,0.96,11.44,8
7.67,0.649,0.168,1.03,0.059,11.6,23.6,0.99933,3.191,0.716,10.61,5
8.88,0.415,0.263,2.5,0.09,18.3,71.1,0.994314,3.208,0.451,10.78,5
11.24,0.572,0.03,3.93,0.053,4.0,89.8,0.998377,3.186,0.961,11.51,7
6.62,0.476,0.404,3.09,0.029,29.6,40.3,0.998042,3.192,0.487,9.29,7
7.88,0.651,0.639,2.71,0.116,17.9,12.8,0.995321,3.534,0.717,12.9,3
9.62,0.616,0.407,4.03,0.07,8.9,46.0,0.992909,3.273,0.616,9.89,7
9.04,0.405,0.548,1.48,0.058,14.1,58.0,0.995619,3.293,0.587,10.05,5
7.66,0.5,0.109,2.54,0.049,10.4,36.1,1.000648,3.426,0.79,9.19,8
8.07,0.718,0.315,2.48,0.102,29.7,27.9,0.99506,3.06,0.702,9.22,6
5.96,0.601,0.091,2.12,0.135,13.8,65.0,0.995191,3.318,0.747,11.37,7
7.9,0.279,0.227,1.95,0.073,17.5,62.9,0.994805,3.145,0.521,12.67,5
7.85,0.648,0.417,2.6,0.079,21.9,35.1,0.999008,3.266,0.63,9.83,4
8.69,0.335,0.289,2.55,0.125,8.1,7.9,0.996238,3.222,0.529,10.75,7
7.36,0.784,0.002,1.03,0.024,17.9,61.5,0.995511,3.214,0.626,10.62,3
9.1,0.714,0.02,3.62,0.156,18.8,21.3,0.999386,3.344,0.64,11.4,6
10.02,0.582,0.008,1.13,0.173,1.0,53.6,0.997801,3.343,0.974,12.62,8
8.56,0.558,0.363,2.19,0.012,18.6,51.5,0.994953,3.277,0.616,11.92,8
8.9,0.492,0.662,2.09,0.084,15.4,15.6,0.994375,3.366,0.299,10.16,7
8.39,0.652,0.529,3.0,0.062,17.3,49.2,0.998901,3.18,0.897,10.93,5
8.3,0.463,0.09,0.6,0.078,16.3,63.4,0.996732,3.412,0.736,11.03,7
7.07,0.572,0.54,3.75,0.072,18.6,67.5,0.993757,3.279,0.638,10.38,3
8.84,0.687,0.448,1.55,0.115,29.9,50.4,0.993312,3.237,0.586,9.3,7
8.13,0.429,0.024,4.21,0.083,3.5,18.5,0.99458,3.191,0.499,9.6,4
11.86,0.419,0.212,1.83,0.055,12.3,88.5,0.994345,3.274,0.989,11.55,7
10.97,0.315,0.478,2.43,0.081,22.9,60.0,0.992812,3.591,0.669,11.65,5
8.96,0.338,0.375,5.18,0.105,20.9,6.9,0.994611,3.301,0.365,10.19,7
7.0,0.201,0.021,2.11,0.046,20.7,20.6,0.994954,3.138,0.716,10.66,6
6.41,0.661,0.386,4.23,0.029,44.8,54.1,0.995821,3.448,0.865,11.6,8
10.32,0.856,0.136,2.55,0.157,22.3,68.9,0.999917,3.239,0.687,8.7,7
8.75,0.787,0.228,3.08,0.065,27.8,30.4,0.996193,3.353,0.507,9.95,8
9.12,0.237,0.486,2.6,0.082,12.7,73.7,0.996382,3.219,0.492,12.42,3
5.33,0.66,0.273,3.69,0.073,5.5,12.5,0.997668,3.502,0.504,10.7,5
9.88,0.786,0.175,1.54,0.106,12.6,12.2,0.996249,3.221,0.919,9.27,5
9.07,0.448,0.439,1.12,0.149,23.4,21.4,0.99746,3.52,0.648,10.52,3
6.41,0.548,0.455,1.61,0.107,20.2,17.0,0.997233,3.153,0.375,11.42,3
7.5,0.169,0.519,2.64,0.034,20.1,96.1,0.996933,3.266,0.725,8.0,3
8.75,0.578,0.436,2.19,0.039,13.6,114.2,1.001956,3.52,0.684,10.58,7
8.39,0.339,0.475,3.49,0.073,12.0,54.2,0.998431,3.335,0.584,10.03,5
7.8,0.566,0.409,4.33,0.078,14.0,25.5,0.994645,3.651,0.487,8.76,7
8.12,0.249,0.32,1.13,0.027,23.5,39.2,0.997403,3.27,0.479,10.48,8
7.87,0.628,0.287,1.47,0.116,24.7,62.1,0.995196,3.349,0.845,10.26,3
8.56,0.714,0.225,0.6,0.049,5.3,6.0,0.997548,3.596,0.702,10.38,8
10.8,0.389,0.04,5.34,0.139,23.9,27.7,0.994087,3.083,0.741,10.05,4
4.0,0.325,0.088,2.93,0.151,9.1,93.7,0.994595,3.064,0.702,9.38,5
